,game_pk,at_bat_number,runner_id,pitcher_id,catcher_id,successful_sb,runner_sprint_speed,pitch_tempo,sb_att_rate,lead_dist_gained_opp,lead_dist_gained_att,pop_time,exchange_time,arm_strength,cs_aa_per_throw
1253,718749,36,518692,518516,672515,0,26.7,13.459000000000001,0.009708737864077669,1.265474747,13.162,1.896612903,0.607709677,79.457731935,0.2787784742048348
1254,716702,21,678662,694297,672515,1,28.1,16.173,0.02906976744186046,4.640772727,11.7697,1.896612903,0.607709677,79.457731935,0.2787784742048348
1255,716942,6,673490,694297,672515,0,28.5,16.173,0.02906976744186046,4.640772727,11.7697,1.896612903,0.607709677,79.457731935,0.2787784742048348
1256,717420,6,543807,669194,672515,0,27.8,14.96,0.008928571428571428,3.701589862,9.44775,1.896612903,0.607709677,79.457731935,0.2787784742048348
1257,716678,32,673548,668678,672515,0,28.5,15.622,0.010115606936416185,4.02425,9.183428571,1.896612903,0.607709677,79.457731935,0.2787784742048348
1258,716660,15,673548,518876,672515,1,28.5,15.117,0.020512820512820516,4.733644401,12.71875,1.896612903,0.607709677,79.457731935,0.2787784742048348
1259,716660,26,641355,518876,672515,1,28.3,15.117,0.020512820512820516,4.733644401,12.71875,1.896612903,0.607709677,79.457731935,0.2787784742048348
1260,718494,73,663757,614179,672515,0,27.7,15.342,0.021505376344086027,3.9235786519999998,9.902000000000001,1.896612903,0.607709677,79.457731935,0.2787784742048348
1261,718160,28,665923,518876,672515,1,29.7,15.117,0.020512820512820516,4.733644401,12.71875,1.896612903,0.607709677,79.457731935,0.2787784742048348
1262,718765,14,444482,518876,672515,0,27.0,15.117,0.020512820512820516,4.733644401,12.71875,1.896612903,0.607709677,79.457731935,0.2787784742048348
1263,718282,17,645302,674072,672515,0,28.0,17.230999999999998,0.00906344410876133,1.69871885,9.585,1.896612903,0.607709677,79.457731935,0.2787784742048348
1264,718236,38,665862,694297,672515,1,28.4,16.173,0.02906976744186046,4.640772727,11.7697,1.896612903,0.607709677,79.457731935,0.2787784742048348
1265,717706,24,647304,605200,672515,1,25.8,14.617,0.01366120218579235,4.211664723,9.0116,1.896612903,0.607709677,79.457731935,0.2787784742048348
1266,718236,2,665862,694297,672515,1,28.4,16.173,0.02906976744186046,4.640772727,11.7697,1.896612903,0.607709677,79.457731935,0.2787784742048348
1267,716384,54,514888,657044,672515,1,26.9,16.072,0.06349206349206349,4.765177419,15.638,1.896612903,0.607709677,79.457731935,0.2787784742048348
1268,718101,30,678225,694297,672515,0,29.7,16.173,0.02906976744186046,4.640772727,11.7697,1.896612903,0.607709677,79.457731935,0.2787784742048348
1269,716678,56,670156,668678,672515,0,28.6,15.622,0.010115606936416185,4.02425,9.183428571,1.896612903,0.607709677,79.457731935,0.2787784742048348
1270,716792,19,500743,518876,672515,0,26.4,15.117,0.020512820512820516,4.733644401,12.71875,1.896612903,0.607709677,79.457731935,0.2787784742048348
1271,718060,32,547180,669194,672515,0,27.6,14.96,0.008928571428571428,3.701589862,9.44775,1.896612903,0.607709677,79.457731935,0.2787784742048348
1272,716868,58,682622,612434,672515,1,29.1,15.120999999999999,0.024390243902439025,5.198790123,13.0105,1.896612903,0.607709677,79.457731935,0.2787784742048348
